state_abb,state_name,contributor,population_2022,avg_household_income_2022,median_household_income_2022,area_sq_mile,state_capital,gdp_2022,unemployment_2022_pct,top_industry_1,top_industry_2,top_industry_3,statehood_yr,,,,,,,,,,,,,
AL,Alabama,Amilcar Armmand,"5,073,903.00","78,639.09","59,609.00","50,647.13",Montgomery,"277,817,000,000.00",2.60,Manufacturing,Real estate,Professional and business services,1819,,,,,,,,,,,,,
AK,Alaska,Amilcar Armmand,"733,276.00","105,162.63","86,370.00","571,022.38",Juneau,"63,618,000,000.00",4.00,"Mining, quarrying, and oil and gas extraction",Transportation and warehousing,Real estate,1959,,,,,,,,,,,,,
AZ,Arizona,Amilcar Armmand,"7,365,684.00","100,890.13","72,581.00","113,653.42",Phoenix,"458,950,000,000.00",3.80,Real estate,Professional and business services,"Education, health care, and social services",1912,,,,,,,,,,,,,
AR,Arkansas,Amilcar Armmand,"3,046,404.00","77,114.15","56,335.00","51,992.85",Little Rock,"165,221,000,000.00",3.30,Manufacturing,Professional and business services,Real estate,1836,,,,,,,,,,,,,
CA,California,Miaowei Weng,"39,240,000.00","84,376.00","85,300.00","155,812,000.00",Sacramento,"2,890,000,000,000.00",4.10,Tourism,Agriculture,Entertainment,1850,,,,,,,,,,,,,
CO,Colorado,Miaowei Weng,"5,812,000.00","117,508.00","87,598.00","103,601,000.00",Denver,"385,830,000,000.00",3.30,Agriculture,Mining,Manufacturing,1876,,,,,,,,,,,,,
CT,Connecticut,Miaowei Weng,"3,606,000.00","130,601.00","90,213.00","5,018,000.00",Hartford,"276,670,000,000.00",4.00,Finance and Insurance,Real Estate,Manufacturing,1788,,,,,,,,,,,,,
DE,Delaware,Mackenzie Klein,"1,019,459.00","80,750.00","79,325.00","1,982.00",Dover,"65,000,000,000.00",4.50,Finance and Insurance,Manufactoring,Fishing,1787,,,,,,,,,,,,,
FL,Florida,Eduardo Cury,"22,240,000.00","74,580.00","65,370.00","65,757.00",Tallahassee,"1,389,069,700,000.00",2.70,Tourism and Hospitality,Real Estate,Aviation & Aerospace,1845,,,,,,,,,,,,,
GA,Georgia,Mackenzie Klein,"10,913,150.00","71,355.00","67,730.00","57,919.00",Atlanta,"591,260,000,000.00",3.00,Aerospace,Agriculture,Automotive,1788,,,,,,,,,,,,,
HI,Hawaii,Eduardo Cury,"1,439,399.00","122,902.00","94,814.00","10,931.00",Honolulu,"98,218,800,000.00",3.70,Tourism,Agriculture,construction industries,1959,,,,,,,,,,,,,
ID,Idaho,Mackenzie Klein,"1,938,996.00","72,580.00","70,214.00","82,751.00",Boise,"84,000,000,000.00",2.70,Energy,Manufacturing,Agriculture,1890,,,,,,,,,,,,,
IL,Illinois,Warryn Louis,"12,810,000.00","90,861.00","72,205.00","57,918.00",Chicago,"797,970,000,000.00",4.70,Agriculture,Manufacturing,Services,1818,,,,,,,,,,,,,
IN,Indiana,Warryn Louis,"6,790,000.00","62,743.00","79,243.00","36,418.00",Indianapolis,"352,960,000,000.00",2.20,Manufacturing ,Agriculture,Transportation,1816,,,,,,,,,,,,,
IA,Iowa,Warryn Louis,"3,190,000.00","65,600.00","76,320.00","56,273.00",Des Moines,"177,090,000,000.00",2.70,Agriculture,Manufacturing,Renewable Energies,1846,,,,,,,,,,,,,
KS,Kansas,Cristian Sayers,"2,937,150.00","94,263.00","73,040.00","82,278.00",Topeka,"164,940,000,000.00",2.70,"Corn, Wheat, & Soybean",Aircraft Part Sales,Farm Equipment Sales,1861,,,,,,,,,,,,,
KY,Kentucky,Cristian Sayers,"4,511,563.00","83,093.00","55,573.00","39,480.90",Frankfurt,"201,380,000,000.00",3.90,Manufacturing,Agriculture,Coal,1792,,,,,,,,,,,,,
LA,Louisiana,Cristian Sayers,"4,588,023.00","83,169.00","52,087.00","43,210.23",Baton Rouge,"217,160,000,000.00",3.70,Chemical,Petroleum ,Coal,1812,,,,,,,,,,,,,
ME,Maine,Mohammad Atohmoshli,"1,354,200.00","56,000.00","57,918.00","35,385.00",Augusta,"65,000,000,000.00",4.20,Tourism,Agriculture,Manufacturing,1820,,,,,,,,,,,,,
MD,Maryland,Mohammad Atohmoshli,"6,177,600.00","78,500.00","89,571.00","12,406.00",Annapolis,"405,000,000,000.00",3.80,Aerospace,Biotechnology,Services,1788,,,,,,,,,,,,,
MA,Massachusetts,Mohammad Atohmoshli,"7,033,500.00","72,800.00","85,843.00","10,565.00",Boston,"600,000,000,000.00",3.50,Technology,Healthcare,Finance,1788,,,,,,,,,,,,,
MI,Michigan,David Gutierrez,"10,033,281.00","92,835.00","68,505.00","96,716.00",Lansing,"539,900,000,000.00",4.30,Agriculture,Tourism,Manufacturing,1837,,,,,,,,,,,,,
MN,Minnesota,Cristian Sayers,"5,714,300.00","110,714.08","90,390.00","86,939.00",Saint Paul,"446,499,500,000.00",2.70,Agriculture,Manufacturing,Mining,1858,,,,,,,,,,,,,
MS,Mississipi,Cristian Sayers,"2,938,928.00","67,660.16","48,610.00","48,432.00",Jackson,"138,739,700,000.00",3.90,Agriculture,Manufacturing,Mining,1817,,,,,,,,,,,,,
MO,Missouri,Cristian Sayers,"6,177,168.00","87,756.46","71,520.00","69,707.00",Jefferson City,"389,931,200,000.00",2.50,Agriculture,Aerospace,Manufacturing,1821,,,,,,,,,,,,,
MT,Montana,Cristian Sayers,"1,122,878.00","91,440.59","72,980.00","147,040.00",Helena,"65,014,500,000.00",2.60,Agriculture,Healthcare,Energy,1889,,,,,,,,,,,,,
